# format: filePath|maxMatches|reason
# 迁移期既有硬编码 UI 文案基线。新增用户可见文案应优先使用 Compose Resources；
# 如果此文件中的计数增长，checkLongTermGovernance 会失败。
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/AppBarLogo.kt|0|common component copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/AppCard.kt|0|common component copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/CollapsibleSection.kt|0|common component copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/ErrorState.kt|0|common component copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/ImageUploadButton.kt|0|Image upload button copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/PermissionBottomSheet.kt|0|Permission bottom sheet copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/SmartAsyncImage.kt|0|common component copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/component/TaskProgressIndicator.kt|0|Task progress indicator copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/community/CommunityScreen.kt|0|Community header copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/creator/CreatorProfileScreen.kt|0|Creator profile copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/detail/AppDetailScreen.kt|7|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/discovery/DiscoveryScreen.kt|11|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/history/TaskHistoryScreen.kt|14|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/login/LoginScreen.kt|8|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/plaza/PlazaScreen.kt|5|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/profile/ProfileScreen.kt|0|Profile screen copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/profile/SettingsDialog.kt|0|Settings dialog copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/AdaptivePromptTextField.kt|1|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/QuickCreateGenerationInteractor.kt|1|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/QuickCreateMediaUploadCoordinator.kt|1|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/editor/composer/QuickCreateClassicComposerContent.kt|2|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/editor/composer/QuickCreateCompactComposerContent.kt|2|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/editor/params/QuickCreateParamsSheetContent.kt|4|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/history/QuickCreateHistoryContent.kt|3|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/inspiration/QuickCreateInspirationContent.kt|0|QuickCreate inspiration action copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/modelselector/QuickCreateModelSelectorContent.kt|0|QuickCreate model selector sheet copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/project/QuickCreateProjectContent.kt|12|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/quickcreate/presentation/result/QuickCreateResultContent.kt|0|QuickCreate result action copy moved to Compose Resources
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/feature/search/SearchScreen.kt|5|legacy hardcoded UI copy baseline
composeApp/src/commonMain/kotlin/com/runninghub/app/ui/navigation/MainScreen.kt|0|Main navigation copy moved to Compose Resources
# 独立 Presentation 模块中的中文 UI 文案基线；后续应逐步迁移到 Compose Resources 或统一文案端口。
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/QuickCreateErrorMessages.kt|27|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/billing/QuickCreateBillingUiText.kt|3|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/billing/QuickCreateFeePreviewInteractor.kt|3|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/draft/QuickCreateDraftUiModel.kt|2|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/editor/QuickCreateEditorUiModels.kt|11|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/fields/QuickCreationServiceFieldUiModel.kt|2|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/generation/QuickCreateGenerationRequestFactory.kt|2|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/history/QuickCreateHistoryStateHolder.kt|5|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/inspiration/QuickCreateInspirationStateHolder.kt|4|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/modelcatalog/QuickCreateServiceModelUiModel.kt|7|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/project/QuickCreateProjectStateHolder.kt|6|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/project/QuickCreateProjectUiModel.kt|8|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/result/QuickCreateTaskPollingController.kt|14|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/result/QuickCreateTaskStatusUi.kt|4|presentation hardcoded UI copy baseline
feature/quickcreate/presentation/src/commonMain/kotlin/com/runninghub/feature/quickcreate/presentation/state/QuickCreateNavigationState.kt|4|presentation hardcoded UI copy baseline
feature/task/presentation/src/commonMain/kotlin/com/runninghub/feature/task/presentation/TaskHistoryStateHolder.kt|10|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after History UI leaves composeApp
feature/auth/presentation/src/commonMain/kotlin/com/runninghub/feature/auth/presentation/login/LoginStateHolder.kt|21|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Login UI leaves composeApp
feature/auth/presentation/src/commonMain/kotlin/com/runninghub/feature/auth/presentation/profile/ProfileStateHolder.kt|2|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Profile UI leaves composeApp
feature/auth/presentation/src/commonMain/kotlin/com/runninghub/feature/auth/presentation/creator/CreatorProfileStateHolder.kt|1|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after CreatorProfile UI leaves composeApp
feature/community/presentation/src/commonMain/kotlin/com/runninghub/feature/community/presentation/CommunityStateHolder.kt|12|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Community tools UI leaves composeApp
feature/detail/presentation/src/commonMain/kotlin/com/runninghub/feature/detail/presentation/AppDetailStateHolder.kt|4|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Detail UI leaves composeApp
feature/discovery/presentation/src/commonMain/kotlin/com/runninghub/feature/discovery/presentation/CatalogErrorMessages.kt|2|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Discovery UI leaves composeApp
feature/discovery/presentation/src/commonMain/kotlin/com/runninghub/feature/discovery/presentation/DiscoveryStateHolder.kt|7|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Discovery UI leaves composeApp
feature/discovery/presentation/src/commonMain/kotlin/com/runninghub/feature/discovery/presentation/SearchStateHolder.kt|1|presentation hardcoded UI copy baseline; move to Compose Resources or a text provider after Search UI leaves composeApp
